model,game,level,run_id,game_level,total_steps,meaningful_steps,meaningful_ratio,total_distance,avg_distance_per_step,winner,total_reward,reward_steps,max_reward,final_reward,won,normalized_reward
chatgpt 4o-mini,aliens,1,1,aliens-lvl1,373,229,0.613941018766756,152,0.4075067024128686,PLAYER_LOSES,35.0,24,2.0,0.0,False,0.4923076922319527
chatgpt 4o-mini,boulderdash,4,5,boulderdash-lvl4,323,99,0.3065015479876161,63,0.19504643962848298,PLAYER_LOSES,8.0,4,2.0,0.0,False,0.3333333330555555
chatgpt 4o-mini,boulderdash,4,2,boulderdash-lvl4,664,197,0.29668674698795183,174,0.2620481927710843,PLAYER_LOSES,16.0,8,2.0,0.0,False,0.9999999991666666
chatgpt 4o-mini,boulderdash,4,4,boulderdash-lvl4,405,119,0.2938271604938272,106,0.2617283950617284,PLAYER_LOSES,14.0,7,2.0,0.0,False,0.8333333326388889
chatgpt 4o-mini,boulderdash,4,3,boulderdash-lvl4,513,143,0.2787524366471735,108,0.21052631578947367,PLAYER_LOSES,8.0,4,2.0,0.0,False,0.3333333330555555
chatgpt 4o-mini,boulderdash,4,1,boulderdash-lvl4,1998,640,0.3203203203203203,540,0.2702702702702703,NO_WINNER,14.0,7,2.0,0.0,False,0.8333333326388889
chatgpt 4o-mini,aliens,2,5,aliens-lvl2,435,276,0.6344827586206897,313,0.7195402298850575,PLAYER_LOSES,36.0,22,2.0,0.0,False,0.48437499992431643
chatgpt 4o-mini,aliens,2,2,aliens-lvl2,348,169,0.48563218390804597,277,0.7959770114942529,PLAYER_LOSES,5.0,5,1.0,0.0,False,0.0
chatgpt 4o-mini,aliens,2,4,aliens-lvl2,227,104,0.4581497797356828,205,0.9030837004405287,PLAYER_LOSES,5.0,5,1.0,0.0,False,0.0
chatgpt 4o-mini,aliens,2,3,aliens-lvl2,181,90,0.4972375690607735,137,0.7569060773480663,PLAYER_LOSES,7.0,6,2.0,0.0,False,0.03124999999511719
chatgpt 4o-mini,aliens,2,1,aliens-lvl2,654,375,0.573394495412844,429,0.6559633027522935,PLAYER_LOSES,43.0,27,2.0,0.0,False,0.5937499999072267
chatgpt 4o-mini,boulderdash,3,5,boulderdash-lvl3,978,222,0.22699386503067484,200,0.20449897750511248,PLAYER_LOSES,8.0,4,2.0,0.0,False,0.666666666111111
chatgpt 4o-mini,boulderdash,3,2,boulderdash-lvl3,464,95,0.20474137931034483,81,0.17456896551724138,PLAYER_LOSES,8.0,4,2.0,0.0,False,0.666666666111111
chatgpt 4o-mini,boulderdash,3,4,boulderdash-lvl3,41,13,0.3170731707317073,6,0.14634146341463414,PLAYER_LOSES,0.0,0,0.0,0.0,False,0.0
chatgpt 4o-mini,boulderdash,3,3,boulderdash-lvl3,1998,264,0.13213213213213212,212,0.1061061061061061,NO_WINNER,8.0,4,2.0,0.0,False,0.666666666111111
chatgpt 4o-mini,boulderdash,3,1,boulderdash-lvl3,500,117,0.234,101,0.202,PLAYER_LOSES,8.0,4,2.0,0.0,False,0.666666666111111
chatgpt 4o-mini,realsokoban,3,5,realsokoban-lvl3,1998,547,0.27377377377377377,748,0.3743743743743744,NO_WINNER,0.0,0,0.0,0.0,False,0.0
chatgpt 4o-mini,realsokoban,3,2,realsokoban-lvl3,1998,690,0.34534534534534533,1006,0.5035035035035035,NO_WINNER,0.0,0,0.0,0.0,False,0.0
chatgpt 4o-mini,realsokoban,3,4,realsokoban-lvl3,1998,391,0.1956956956956957,545,0.2727727727727728,NO_WINNER,0.0,0,0.0,0.0,False,0.0
chatgpt 4o-mini,realsokoban,3,3,realsokoban-lvl3,1998,415,0.20770770770770772,583,0.29179179179179177,NO_WINNER,0.0,0,0.0,0.0,False,0.0
chatgpt 4o-mini,realsokoban,3,1,realsokoban-lvl3,1998,552,0.27627627627627627,771,0.3858858858858859,NO_WINNER,0.0,0,0.0,0.0,False,0.0
chatgpt 4o-mini,zelda,3,5,zelda-lvl3,152,3,0.019736842105263157,0,0.0,PLAYER_LOSES,0.0,0,0.0,0.0,False,0.0
chatgpt 4o-mini,zelda,3,2,zelda-lvl3,34,2,0.058823529411764705,0,0.0,PLAYER_LOSES,0.0,0,0.0,0.0,False,0.0
chatgpt 4o-mini,zelda,3,4,zelda-lvl3,144,9,0.0625,0,0.0,PLAYER_LOSES,0.0,0,0.0,0.0,False,0.0
chatgpt 4o-mini,zelda,3,3,zelda-lvl3,46,2,0.043478260869565216,0,0.0,PLAYER_LOSES,0.0,0,0.0,0.0,False,0.0
chatgpt 4o-mini,zelda,3,1,zelda-lvl3,45,8,0.17777777777777778,0,0.0,PLAYER_LOSES,0.0,0,0.0,0.0,False,0.0
chatgpt 4o-mini,zelda,2,5,zelda-lvl2,280,28,0.1,0,0.0,PLAYER_LOSES,0.0,0,0.0,0.0,False,0.0
chatgpt 4o-mini,zelda,2,2,zelda-lvl2,90,3,0.03333333333333333,0,0.0,PLAYER_LOSES,0.0,0,0.0,0.0,False,0.0
chatgpt 4o-mini,zelda,2,4,zelda-lvl2,342,52,0.15204678362573099,0,0.0,PLAYER_LOSES,0.0,0,0.0,0.0,False,0.0
chatgpt 4o-mini,zelda,2,3,zelda-lvl2,128,14,0.109375,0,0.0,PLAYER_LOSES,0.0,0,0.0,0.0,False,0.0
chatgpt 4o-mini,zelda,2,1,zelda-lvl2,119,13,0.1092436974789916,0,0.0,PLAYER_LOSES,0.0,0,0.0,0.0,False,0.0
